,Player,Kda,rating,openRating,ratingPis
138,robiin,1.13,1.15,0.91,1.43
139,Jimpphat,1.20,1.15,0.85,0.82
140,malbsMd,1.10,1.14,1.04,1.37
141,TeSeS,1.05,1.14,1.06,0.78
142,b1elany,1.11,1.14,0.93,1.19
143,skyye,1.07,1.14,1.01,1.34
144,stadodo,1.19,1.14,1.18,1.41
145,rallen,1.07,1.14,1.08,1.00
146,PlesseN,1.04,1.14,1.06,1.34
147,refrezh,1.14,1.14,0.97,1.17
148,doc,1.01,1.14,1.12,1.12
149,TjP,1.05,1.14,1.14,0.81
150,Ciocardau,1.01,1.14,1.17,0.89
151,DSSj,1.14,1.14,1.12,1.20
152,kraghen,1.02,1.14,1.16,0.94
153,exit,1.12,1.14,0.91,1.01
154,BeaKie,1.16,1.14,0.98,1.03
155,tomiko,1.10,1.14,1.00,1.24
156,shadiy,1.07,1.14,0.94,0.95
157,clax,1.13,1.14,1.02,1.09
158,valde,1.13,1.14,0.93,0.99
159,Levi,1.02,1.14,1.17,1.04
160,cass1n,1.19,1.14,1.17,0.88
161,CRUC1AL,1.20,1.14,1.14,1.17
162,latto,1.06,1.13,0.95,1.38
163,yAmi,1.04,1.13,1.13,1.06
164,Prism,1.06,1.13,0.98,1.20
165,Pechyn,1.12,1.13,0.99,0.98
166,dgt,1.12,1.13,1.07,1.00
167,zont1x,1.07,1.13,1.08,1.21
168,xfl0ud,1.16,1.13,0.96,1.18
169,asap,1.09,1.13,1.00,1.19
170,noway,1.10,1.13,1.03,0.98
171,anarkez,1.19,1.13,1.11,1.08
172,RuStY,1.10,1.13,0.99,1.28
173,r3salt,1.06,1.13,1.04,1.26
174,Mercury,1.02,1.13,1.12,1.08
175,togs,1.14,1.13,1.01,1.20
176,IceBerg,0.99,1.13,1.18,0.74
177,insani,1.04,1.13,1.04,1.03
178,alpha,1.06,1.13,1.06,1.59
179,bLitz,1.10,1.13,0.90,0.85
180,SaMey,1.16,1.13,1.10,1.09
181,lulitenz,1.09,1.13,0.81,0.98
182,Djoko,1.03,1.13,1.02,1.36
183,broky,1.09,1.13,1.13,1.16
184,story,1.12,1.13,1.07,1.01
185,b0denmaster,1.13,1.13,1.11,1.09
186,Svedjehed,1.05,1.13,1.09,1.05
187,JennyR,1.11,1.13,1.16,0.61
188,gbb,1.07,1.13,0.94,0.94
189,MarKE,1.09,1.12,1.04,1.22
190,Sonic,1.08,1.12,1.02,1.00
191,Boombl4,1.08,1.12,1.11,0.96
192,CoJoMo,1.10,1.12,1.05,1.34
193,Tiger,1.10,1.12,1.11,1.35
194,Staehr,1.05,1.12,1.04,1.05
195,saadzin,1.13,1.12,1.05,1.11
196,HexT,1.12,1.12,0.97,1.57
197,bl1x1,1.04,1.12,1.03,1.25
198,HeavyGod,1.17,1.12,0.95,1.69
199,Demho,1.12,1.12,0.98,1.18
200,MoDo,1.17,1.12,1.13,1.24
201,headtr1ck,1.16,1.12,1.04,0.81
202,Bymas,1.16,1.12,0.98,0.97
203,MaSvAl,1.15,1.12,0.88,0.94
204,Walco,1.09,1.12,1.15,1.12
205,kaze,1.18,1.12,1.04,1.17
206,olimp,1.01,1.12,1.01,1.31
207,Kobe,1.10,1.12,1.13,1.22
208,glowiing,1.02,1.12,1.04,0.80
209,slaxz-,1.17,1.12,1.16,1.00
210,Forleks,1.02,1.12,0.99,1.34
211,cxzi,0.92,1.11,1.31,1.08
212,SPELLAN,1.05,1.11,1.10,0.89
213,roeJ,1.04,1.11,1.03,0.94
214,Dragon,1.09,1.11,1.09,1.27
215,dobu,1.09,1.11,0.93,1.08
216,nooz,1.02,1.11,1.02,1.41
217,snow,0.98,1.11,1.14,1.24
218,sausol,1.07,1.11,1.03,1.06
219,Twistzz,1.10,1.11,0.82,1.17
220,DeStiNy,1.07,1.11,0.99,1.17
221,KSCERATO,1.12,1.11,0.99,1.18
222,zorte,1.06,1.11,1.24,0.90
223,forsyy,1.18,1.11,1.10,1.02
224,L00m1,1.07,1.11,0.98,0.92
225,atarax1a,1.11,1.11,1.09,1.12
226,fino,1.08,1.11,1.21,1.16
227,ALLE,1.03,1.11,1.16,0.69
228,RZU,1.03,1.11,1.01,1.44
229,JBa,1.08,1.11,0.95,1.01
230,tomaszin,1.04,1.11,0.93,0.87
231,reck,1.14,1.11,0.91,1.34
232,hallzerk,1.09,1.11,1.09,0.83
233,NickelBack,1.04,1.10,0.94,0.89
234,ztr,1.09,1.10,0.92,0.88
235,reiko,1.03,1.10,1.05,1.18
236,rdnzao,1.09,1.10,1.04,1.23
237,ObZen,1.07,1.10,1.08,1.18
238,Zyphon,1.07,1.10,0.99,1.12
239,AhaNg,0.99,1.10,1.03,0.87
240,mwlky,1.11,1.10,1.02,1.14
241,OWNER,1.12,1.10,0.95,1.05
242,Lucaozy,0.97,1.10,1.22,1.24
243,Kamion,0.98,1.10,1.08,0.90
244,Nodios,1.05,1.10,1.01,0.93
245,Sobol,1.04,1.10,1.05,0.96
246,AwaykeN,1.08,1.10,1.07,0.64
247,n1ssim,1.05,1.10,1.09,1.12
248,Techno,1.06,1.10,0.91,0.91
249,uli,1.11,1.10,0.95,0.97
250,Perfecto,1.28,1.10,0.83,0.98
251,decenty,1.08,1.09,0.94,1.77
252,fame,1.11,1.09,0.89,1.02
253,rigoN,1.07,1.09,1.07,1.26
254,BELCHONOKK,1.01,1.09,1.01,1.31
255,nafany,1.06,1.09,1.10,1.00
256,Ganginho,1.17,1.09,1.04,1.04
257,gokushima,1.13,1.09,1.09,0.98
258,gafolo,1.08,1.09,1.04,1.20
259,br0,0.97,1.09,0.96,1.04
260,Cyrix,1.09,1.09,0.97,1.14
261,CacaNito,1.01,1.09,0.99,1.22
262,chjna,0.98,1.09,0.93,1.65
263,nEMANHA,0.94,1.09,1.11,0.88
264,JW,1.02,1.09,1.16,1.28
265,manguss,1.12,1.09,0.90,1.30
266,Martinez,1.08,1.09,1.18,1.09
267,AccuracyTG,1.12,1.09,1.09,1.24
268,MC,1.02,1.09,0.99,0.82
269,dangeR,1.00,1.09,0.99,1.13
270,phzy,1.19,1.08,0.89,1.39
271,PANIX,1.10,1.08,1.06,1.25
272,k0nfig,1.03,1.08,0.95,1.16
273,pr,0.95,1.08,1.05,0.81
274,shalfey,1.05,1.08,1.01,1.05
275,abr,1.10,1.08,0.98,0.98
276,Qlocuu,1.02,1.08,0.95,1.17
277,gxx-,1.05,1.08,1.15,0.97
278,xureba,1.01,1.08,1.02,1.00
279,Grizz,1.03,1.08,0.95,1.20
280,oxygeN,1.00,1.08,1.01,1.09
281,kauez,1.05,1.08,0.99,1.17
282,simke,1.00,1.08,1.04,1.06
283,tucks,1.01,1.08,1.05,0.59
284,MRC9,1.08,1.08,0.92,1.20
285,saffee,1.06,1.08,1.02,0.84
286,TruNiQ,1.02,1.08,0.92,1.30
287,mir,1.03,1.08,1.03,1.18
288,maxster,1.02,1.08,1.00,1.52
289,sacrifice,1.07,1.08,1.05,1.45
290,cynic,1.04,1.08,0.88,1.25
291,bluewh1te,1.05,1.08,0.88,1.57
292,mzinho,0.99,1.08,1.01,1.11
293,chop,1.05,1.08,0.96,1.06
294,sdy,0.98,1.08,0.98,1.39
295,twist,1.01,1.08,1.10,0.87
296,cJ,1.07,1.08,1.08,0.95
297,Valiance,1.01,1.08,0.85,0.99
298,mhL,1.03,1.08,1.07,1.00
299,synyx,1.03,1.08,1.02,1.22
300,s1ren,1.01,1.08,0.99,1.21
301,shaiK,1.04,1.08,1.00,0.80
302,Bwills,1.06,1.08,1.02,1.16
303,bodyy,1.03,1.07,1.05,0.96
304,2high,1.06,1.07,0.79,1.18
305,bajmi,1.05,1.07,1.00,1.15
306,VINI,1.05,1.07,0.95,1.12
307,zevy,1.04,1.07,1.18,1.16
308,KRAXYT,0.96,1.07,0.89,0.81
309,jkaem,0.92,1.07,1.25,1.04
310,HEAP,1.02,1.07,0.98,1.41
311,Gonzo,0.95,1.07,1.06,1.02
312,pz,1.02,1.07,1.07,1.07
313,snav,1.01,1.07,1.00,1.09
314,nbqq,1.04,1.07,1.00,0.94
315,WolfY,1.05,1.07,1.05,0.85
316,szejn,1.01,1.07,1.10,1.38
317,PNDLM,0.94,1.07,1.10,1.06
318,dav1g,0.97,1.07,0.98,0.92
319,torzsi,1.07,1.07,1.06,0.82
320,Dani,0.95,1.07,1.03,1.58
321,ZEDKO,1.02,1.07,1.02,1.10
322,TMB,1.00,1.07,1.02,0.91
323,kabal,0.93,1.07,0.99,1.16
324,CYPHER,0.95,1.07,1.06,1.29
325,cej0t,0.96,1.07,1.06,0.82
326,Skrimo,0.92,1.06,1.04,1.11
327,dennyslaw,1.05,1.06,1.20,0.90
328,shg,1.02,1.06,0.96,1.06
329,realz1n,1.08,1.06,0.92,0.99
330,fozil,0.95,1.06,1.09,1.13
331,notineki,1.06,1.06,0.91,1.06
332,Westmelon,1.02,1.06,0.95,1.18
333,naitte,0.89,1.06,1.18,1.19
334,Starry,0.98,1.06,1.11,1.05
335,mopoz,1.00,1.06,0.91,1.24
336,ifan,0.90,1.06,1.14,1.28
337,maNkz,0.96,1.06,0.92,0.86
338,Buzz,1.02,1.06,0.92,1.13
339,HUASOPEEK,0.97,1.06,1.00,1.15
340,Krad,0.96,1.06,1.01,1.28
341,Wicadia,0.98,1.06,1.15,0.82
342,rain,0.97,1.06,1.03,1.17
343,detr0ittJ,1.07,1.06,1.21,0.89
344,Norwi,1.01,1.06,0.98,1.06
345,hades,1.05,1.06,1.10,0.87
346,Wolffe,0.98,1.06,0.89,1.19
347,Ro1f,1.04,1.06,0.90,0.95
348,aragornN,0.99,1.05,1.00,1.47
349,ewjerkz,0.96,1.05,1.01,0.70
350,d4rty,0.98,1.05,1.03,0.80
351,Peppzor,1.03,1.05,0.94,1.13
352,aVN,1.06,1.05,0.96,0.94
353,nero,1.00,1.05,1.19,1.00
354,nosraC,0.94,1.05,1.01,0.89
355,Kylar,1.00,1.05,0.95,1.07
356,Gizmy,0.94,1.05,1.08,0.73
357,xaler,1.06,1.05,0.90,0.91
358,Mingovi,0.97,1.05,1.11,0.95
359,Jackinho,1.03,1.05,0.99,1.20
360,Sapec,0.96,1.05,1.00,1.17
361,Summer,0.95,1.05,1.00,0.73
362,Cjoffo,1.02,1.05,0.99,0.90
363,kwezz,0.98,1.05,0.96,1.00
364,Bibu,0.93,1.05,0.94,1.14
365,avid,1.02,1.05,0.96,1.23
366,lollipop21k,0.92,1.05,1.13,0.97
367,kadziu,1.00,1.05,1.00,1.15
368,maaryy,1.01,1.05,1.06,0.92
369,niko,1.01,1.05,1.04,1.22
370,magixx,1.03,1.05,0.85,1.27
371,bobeksde,0.96,1.04,1.03,1.02
372,tN1R,1.02,1.04,0.93,1.35
373,Banjo,0.95,1.04,1.04,0.87
374,ponter,1.01,1.04,0.92,1.08
375,nqz,1.11,1.04,0.99,1.03
376,juissi,0.96,1.04,1.04,1.06
377,vsm,0.96,1.04,0.92,0.99
378,juanflatroo,0.92,1.04,1.03,0.98
379,emi,0.93,1.04,1.05,1.06
