,Player,Kda,rating,openRating,ratingPis
605,voltera,0.84,0.94,0.88,0.71
606,nifee,0.83,0.94,0.89,0.82
607,jsfeltner,0.79,0.93,0.99,0.81
608,Jelo,0.89,0.93,0.81,0.89
609,zmb,0.84,0.93,0.88,1.09
610,ottoNd,0.88,0.93,1.02,0.72
611,MUTiRiS,0.87,0.93,0.84,0.72
612,chopper,0.83,0.93,0.84,1.02
613,Sandman,0.87,0.93,0.89,1.18
614,jz,0.83,0.93,0.87,0.73
615,max,0.80,0.93,0.90,1.00
616,freshie,0.85,0.93,0.76,1.00
617,KalubeR,0.84,0.93,0.80,0.85
618,k1to,0.83,0.92,0.93,1.20
619,Vacancy,0.80,0.92,1.14,0.86
620,2x2x,0.83,0.92,0.89,1.28
621,Hassie,0.80,0.92,0.99,1.12
622,zks,0.79,0.92,1.05,0.78
623,Bones,0.88,0.92,0.88,0.88
624,sinnopsyy,0.78,0.92,1.06,0.66
625,LEARSI,0.84,0.92,0.86,0.62
626,MMS,0.79,0.92,0.88,0.90
627,gRuChA,0.83,0.92,0.82,1.03
628,Valencio,0.86,0.92,0.86,0.87
629,grape,0.81,0.92,0.95,0.92
630,buda,0.80,0.92,0.86,1.02
631,Danejoris,0.80,0.92,0.85,1.19
632,tAk,0.81,0.91,1.01,1.05
633,tutu,0.89,0.91,0.76,0.81
634,supar,0.82,0.91,0.84,1.08
635,aleph,0.79,0.91,0.99,0.96
636,zede,0.85,0.91,0.81,1.07
637,arcade,0.82,0.91,0.93,0.84
638,LNZ,0.83,0.91,0.87,0.91
639,stanislaw,0.82,0.91,0.98,1.03
640,interz,0.87,0.91,0.81,0.85
641,s0und,0.84,0.91,0.93,1.32
642,SZPERO,0.88,0.91,0.83,2.05
643,hotd0g ,0.80,0.91,0.85,0.69
644,SHiNE,0.83,0.91,0.82,0.98
645,xicoz,0.82,0.90,0.75,1.35
646,BK1,0.77,0.90,0.88,1.09
647,Brendinha,0.86,0.90,0.89,1.09
648,flying,0.81,0.90,0.84,0.30
649,Leomonster,0.77,0.90,0.93,0.89
650,Drewtheshrew,0.82,0.90,1.05,0.74
651,hurtslxrd,0.82,0.90,0.85,1.03
652,brett,0.75,0.90,0.90,0.81
653,Sm1llee,0.85,0.90,0.72,1.12
654,Trucklover86,0.80,0.89,0.91,1.17
655,capseN,0.81,0.89,0.97,1.09
656,XELLOW,0.81,0.89,0.94,1.20
657,Enzo,0.82,0.89,1.00,0.89
658,def1zer,0.76,0.89,0.80,0.88
659,SkulL,0.81,0.89,0.83,0.95
660,Topa,0.85,0.89,0.90,1.04
661,bootylord,0.87,0.89,1.05,0.99
662,b0RUP,0.79,0.89,0.78,0.75
663,leckr,0.79,0.89,0.93,0.95
664,SLY,0.75,0.89,0.94,1.08
665,aizy,0.80,0.89,0.91,1.28
666,expro,0.74,0.89,0.98,1.01
667,BTN,0.83,0.88,0.86,1.13
668,RICIOLI,0.78,0.88,0.91,0.69
669,SENER1,0.78,0.88,0.79,0.77
670,Samuukxs,0.78,0.88,0.82,0.46
671,darchevile,0.76,0.88,0.89,0.98
672,lenci,0.83,0.88,0.95,0.89
673,sad,0.78,0.87,0.91,0.82
674,sh1geo,0.76,0.87,0.90,0.90
675,Elk,0.74,0.87,0.79,0.91
676,shield,0.82,0.87,0.96,0.73
677,Raijin,0.76,0.87,0.83,0.87
678,Snappi,0.75,0.86,1.06,0.58
679,Klameczka,0.70,0.86,1.00,1.06
680,afro,0.79,0.86,0.92,1.17
681,es3tag,0.72,0.86,0.77,0.61
682,viz,0.77,0.86,0.74,1.05
683,siuhy,0.74,0.86,0.94,0.78
684,consss,0.77,0.86,0.88,0.89
685,dexter,0.77,0.86,0.91,0.69
686,gas,0.77,0.85,0.88,0.72
687,smekk-,0.73,0.85,0.87,0.71
688,sLowi,0.69,0.85,0.84,0.71
689,Airax,0.68,0.85,1.02,0.68
690,Grashog,0.69,0.85,0.89,0.61
691,BRACE,0.74,0.85,0.88,0.87
692,tOPZ,0.76,0.85,0.75,0.72
693,Pumpkin66,0.79,0.85,0.70,1.34
694,swede,0.75,0.83,0.73,1.35
695,S1rva,0.73,0.83,0.84,0.70
696,EXUS,0.73,0.83,0.89,0.80
697,zakk,0.73,0.83,0.80,0.41
698,kenznk,0.65,0.83,0.87,1.27
699,nut nut,0.74,0.83,0.91,0.77
700,Mellow,0.73,0.83,1.03,0.72
701,delle,0.75,0.83,0.82,0.86
702,MSK,0.64,0.82,0.98,0.94
703,souz4h,0.70,0.82,0.71,1.01
704,shutout,0.68,0.81,0.87,0.67
705,stormzyn,0.74,0.81,0.80,0.70
706,kNgV-,0.72,0.81,0.92,0.95
707,hyza,0.72,0.81,0.78,0.88
708,Patrick,0.74,0.81,0.76,0.79
709,lan,0.65,0.81,1.04,0.89
710,J3nsyy,0.72,0.80,0.79,1.18
711,Speedy,0.70,0.79,0.83,1.02
712,krii,0.64,0.79,0.92,1.02
713,advent,0.66,0.79,0.83,0.73
714,R2D2J,0.67,0.78,0.88,0.74
715,croma,0.71,0.78,0.81,1.09
716,bestch,0.67,0.77,0.93,0.86
717,snatchie,0.68,0.76,0.93,0.96
718,SYSTEM,0.61,0.73,0.73,1.09
719,turtle,0.62,0.72,0.81,0.98
720,s1cko,0.55,0.70,0.69,0.66
