,Team1,Team2,score1,score2
175,SINNERS,BetBoom,1,2
176,The Prodigies SE,Lilmix,1,2
177,Alliance,Young Gods,0,1
178,ECLOT,SINNERS Academy,1,2
179,ECSTATIC,The Witchers,0,2
180,BetBoom,ARCRED,2,0
181,Sampi,Anonymo,,
182,Wings Up,Ninjas in Pyjamas,0,2
183,Clutch,Noobs But Diligent,2,0
184,Sampi,Enterprise,2,1
185,ATOX,Noobs But Diligent,,
186,ECSTATIC,ECLOT,2,0
187,PGE Turow,500,2,0
188,9 Pandas,SINNERS,1,2
189,MOUZ,FaZe,1,2
190,Aurora Young Blud,Spirit Academy,2,0
191,FaZe,Ninjas in Pyjamas,1,0
192,MOUZ,Wings Up,1,0
193,the jungle,Wildcard,0,2
194,M80,Party Astronauts,2,0
195,Rocket,Nouns,2,0
196,Take Flyte,Evil Geniuses,0,2
197,FLUFFY AIMERS,Badass,2,0
198,Kari,Reason,,
199,Unjustified,the jungle,2,0
200,ECSTATIC,Project G,0,2
201,ARCRED,Bad News Eagles,2,1
202,The Prodigies,Movistar Riders,0,2
203,Betera,EYEBALLERS,1,2
204,PARIVISION,Aurora,2,0
205,Kolon 3,PlusW,1,0
206,Apeks,Spirit,0,2
207,Alliance,Monki.gg,1,0
208,Lemondogs,dodareY,1,0
209,9INE,Looking4Org,1,2
210,Space,1WIN,,
211,SAW,FORZE,1,2
212,regelett,Young Gods,0,1
213,SINNERS,Monte,2,1
214,Molotov Gaming,Anorthosis Esports,0,1
215,Carlstad Kings,Marskalk,0,1
216,The Prodigies SE,Kappa Bar,1,0
217,Lilmix,Curlews,1,0
218,Metizport,Space,2,1
219,BetBoom,B8,2,1
220,Alliance,Anonymo,2,0
221,Aurora,9 Pandas,0,2
222,TYLOO,Lynn Vision,1,2
223,FORZE,Pompa,1,2
224,TheMongolz,GR,2,0
225,TSM,EYEBALLERS,0,2
226,LonelyS,Clutch,0,2
227,ECSTATIC,SINNERS,0,2
228,9 Pandas,MOUZ NXT,0,2
229,ENCE,Astralis,1,2
230,Astralis,Lynn Vision,1,0
231,ENCE,TYLOO,1,0
232,Falcons,RUBIK,,
233,Unjustified,Kari,,
234,Rocket,Evil Geniuses,0,2
235,Badass,Party Astronauts,1,2
236,Bad News Bears,the jungle,2,0
237,Into the Breach,B8,1,2
238,SAW,The Prodigies,2,0
239,Betera,PARIVISION,2,1
240,Spirit,Space,2,1
241,Sampi,Aurora Young Blud,2,0
