,Team1,Team2,Result,Rating,openRating,openminRating,openmaxRating,ratingPis,ratingminPis,ratingmaxPis,minRating,maxRating,Kda,minKda,maxKda,last10
0,Natus Vincere,Complexity,1,0.10750000000000004,0.02250000000000041,-0.020000000000000018,-0.020000000000000018,0.23799999999999977,0.33000000000000007,0.27,0.0,0.1499999999999999,0.1815,-0.06999999999999995,0.43999999999999995,11
0,G2,Ninjas in Pyjamas,1,0.18799999999999994,0.17799999999999994,0.040000000000000036,0.30000000000000004,0.03249999999999997,0.040000000000000036,-0.1499999999999999,0.06000000000000005,0.30999999999999983,0.2529999999999999,0.06000000000000005,0.52,14
0,Mindfreak,Grayhound,0,-0.2709999999999997,-0.21900000000000008,-0.21000000000000008,-0.30000000000000004,-0.08899999999999997,0.040000000000000036,-0.25,-0.28,-0.2999999999999998,-0.4065,-0.42000000000000004,-0.3600000000000001,-22
0,paiN,Case,1,0.06249999999999978,0.08250000000000002,0.1499999999999999,0.0,0.1180000000000001,-0.009999999999999898,0.22999999999999998,0.15000000000000002,0.04999999999999982,0.08750000000000013,0.15000000000000002,0.2200000000000002,1.0
0,paiN,Imperial,0,-0.07500000000000018,-0.07000000000000006,-0.020000000000000018,-0.17999999999999994,-0.10450000000000004,-0.32999999999999996,-0.020000000000000018,-0.09000000000000008,-0.07000000000000006,-0.09000000000000008,-0.14,0.030000000000000027,-6.0
0,3DMAX,sYnck,1,0.18266666666666664,0.05466666666666664,-0.020000000000000018,0.09000000000000008,0.24716666666666653,0.30000000000000004,0.21999999999999997,0.10999999999999999,0.16999999999999993,0.2756666666666666,0.15000000000000002,0.35,15
0,3DMAX,Preasy,0,0.046666666666666634,-0.019333333333333313,-0.050000000000000044,0.0,0.09516666666666662,0.20999999999999996,0.07000000000000006,-0.050000000000000044,0.05999999999999983,0.11166666666666658,-0.030000000000000027,0.21999999999999997,2
0,ATOX,The Huns,1,-0.011000000000000343,-0.031500000000000083,0.040000000000000036,-0.1200000000000001,0.02650000000000019,-0.13,0.07000000000000006,0.030000000000000027,-0.07000000000000006,0.00749999999999984,0.040000000000000036,0.010000000000000009,7
0,ATOX,TheMongolz,0,0.017499999999999627,0.0024999999999998357,0.12,0.039999999999999813,0.2250000000000001,0.09999999999999998,0.22999999999999998,0.050000000000000044,0.0,0.04499999999999993,0.020000000000000018,0.09999999999999987,-2
0,Grayhound,Mindfreak,1,0.2709999999999997,0.21900000000000008,0.21000000000000008,0.30000000000000004,0.08899999999999997,-0.040000000000000036,0.25,0.28,0.2999999999999998,0.4065,0.42000000000000004,0.3600000000000001,22
0,Liquid,M80,0,0.05600000000000005,0.06000000000000005,0.040000000000000036,0.1499999999999999,-0.08399999999999985,-0.040000000000000036,-0.20999999999999996,0.13,-0.050000000000000044,0.10800000000000032,0.28000000000000014,0.040000000000000036,-7
0,Wildcard,M80,0,-0.03000000000000025,0.053999999999999826,0.0,0.09999999999999987,0.1280000000000001,0.06000000000000005,0.020000000000000018,0.09999999999999998,-0.15000000000000013,-0.06999999999999984,0.09000000000000008,-0.21999999999999997,-9
0,MIBR,BESTIA,1,-0.009999999999999787,0.01399999999999979,0.10999999999999999,-0.09999999999999987,0.18600000000000028,0.19000000000000006,0.06000000000000005,0.08000000000000007,-0.09000000000000008,0.008000000000000007,0.13,-0.10999999999999988,5.0
0,MOUZ,Preasy,1,-0.0040000000000000036,-0.0020000000000000018,-0.06000000000000005,0.0,0.050000000000000266,0.13,0.09000000000000008,-0.08999999999999997,0.020000000000000018,0.016000000000000236,-0.10999999999999999,0.1499999999999999,1
0,sYnck,Heroic,0,-0.126,-0.005499999999999949,0.010000000000000009,-0.020000000000000018,-0.28800000000000003,-0.27,-0.44999999999999996,-0.14,-0.13000000000000012,-0.1615000000000001,-0.17000000000000004,-0.18000000000000005,-10
0,9 Pandas,3DMAX,0,-0.04066666666666663,-0.026666666666666727,0.010000000000000009,-0.040000000000000036,-0.05916666666666659,-0.28,0.26,-0.020000000000000018,0.0,-0.07166666666666655,0.010000000000000009,-0.040000000000000036,-3
0,MOUZ,Spirit,0,-0.17200000000000015,-0.12399999999999989,-0.06999999999999995,-0.5599999999999998,-0.19199999999999973,0.21000000000000008,-0.8700000000000001,-0.10999999999999999,-0.5299999999999998,-0.23199999999999954,-0.16999999999999993,-0.48,-9
0,9 Pandas,SAW,0,-0.06399999999999983,-0.1575000000000002,-0.09999999999999998,-0.27,-0.14250000000000007,-0.22000000000000008,-0.050000000000000044,-0.1200000000000001,-0.030000000000000027,-0.06000000000000005,-0.09999999999999998,0.07000000000000006,-10
0,Virtus.pro,fnatic,1,0.07799999999999985,0.07599999999999973,0.19999999999999996,0.029999999999999805,-0.01399999999999979,-0.2799999999999999,-0.08999999999999986,0.010000000000000009,0.10000000000000009,0.12399999999999989,0.06000000000000005,0.15999999999999992,9
0,BetBoom,OG,1,0.029000000000000137,0.05300000000000016,-0.04999999999999993,0.040000000000000036,-0.0034999999999999476,-0.040000000000000036,-0.17999999999999994,0.09999999999999998,-0.10999999999999988,0.04049999999999998,0.12,-0.1200000000000001,1
0,3DMAX,Zero Tenacity,1,0.004666666666666819,-0.06333333333333335,0.07999999999999996,-0.1499999999999999,-0.0008333333333332416,0.0,-0.040000000000000036,-0.030000000000000027,-0.040000000000000036,0.057666666666666755,-0.08999999999999997,0.10000000000000009,4
0,Wildcard,Liquid,0,-0.0860000000000003,-0.006000000000000227,-0.040000000000000036,-0.050000000000000044,0.21199999999999997,0.10000000000000009,0.22999999999999998,-0.030000000000000027,-0.10000000000000009,-0.17800000000000016,-0.19000000000000006,-0.26,-2
0,BESTIA,Imperial,1,-0.04300000000000015,-0.07600000000000007,-0.07999999999999996,-0.09000000000000008,-0.1625000000000002,-0.30000000000000004,-0.1499999999999999,-0.13000000000000012,0.010000000000000009,-0.07800000000000007,-0.16000000000000003,-0.10000000000000009,-3.0
0,MIBR,TIMACETA,1,0.10199999999999987,0.08799999999999975,0.35,-0.10999999999999988,0.2985000000000002,0.31000000000000005,0.3500000000000001,0.28,0.04999999999999982,0.15250000000000008,0.2899999999999999,0.09000000000000008,14.0
0,M80,Wildcard,0,0.03000000000000025,-0.053999999999999826,0.0,-0.09999999999999987,-0.1280000000000001,-0.06000000000000005,-0.020000000000000018,-0.09999999999999998,0.15000000000000013,0.06999999999999984,-0.09000000000000008,0.21999999999999997,9
